nil	cat	day	diff
25	Nightlife Spot	2014-09-02	0
25	Nightlife Spot	2014-09-03	0
25	Nightlife Spot	2014-09-04	0
25	Nightlife Spot	2014-09-05	0
25	Nightlife Spot	2014-09-06	1
25	Nightlife Spot	2014-09-07	0
25	Outdoors & Recreation	2014-09-02	0
25	Outdoors & Recreation	2014-09-03	1
25	Outdoors & Recreation	2014-09-04	0
25	Outdoors & Recreation	2014-09-05	0
25	Outdoors & Recreation	2014-09-06	1
25	Outdoors & Recreation	2014-09-07	1
25	Professional & Other Places	2014-09-02	1
25	Professional & Other Places	2014-09-03	2
25	Professional & Other Places	2014-09-04	1
25	Professional & Other Places	2014-09-05	1
25	Professional & Other Places	2014-09-06	3
25	Professional & Other Places	2014-09-07	2
25	Shop & Service	2014-09-02	2
25	Shop & Service	2014-09-03	1
25	Shop & Service	2014-09-04	1
25	Shop & Service	2014-09-05	2
25	Shop & Service	2014-09-06	2
25	Shop & Service	2014-09-07	2
25	Travel & Transport	2014-09-02	1
25	Travel & Transport	2014-09-03	2
25	Travel & Transport	2014-09-04	1
25	Travel & Transport	2014-09-05	0
25	Travel & Transport	2014-09-06	0
25	Travel & Transport	2014-09-07	0
26	Arts & Entertainment	2014-09-02	0
26	Arts & Entertainment	2014-09-03	0
26	Arts & Entertainment	2014-09-04	0
26	Arts & Entertainment	2014-09-05	1
26	Arts & Entertainment	2014-09-06	0
26	Arts & Entertainment	2014-09-07	2
26	College & University	2014-09-02	0
26	College & University	2014-09-03	1
26	College & University	2014-09-04	1
26	College & University	2014-09-05	2
26	College & University	2014-09-06	0
26	College & University	2014-09-07	0
26	Food	2014-09-02	15
26	Food	2014-09-03	14
26	Food	2014-09-04	18
26	Food	2014-09-05	22
26	Food	2014-09-06	14
26	Food	2014-09-07	16
26	Nightlife Spot	2014-09-02	2
26	Nightlife Spot	2014-09-03	2
26	Nightlife Spot	2014-09-04	1
26	Nightlife Spot	2014-09-05	3
26	Nightlife Spot	2014-09-06	5
26	Nightlife Spot	2014-09-07	7
26	Outdoors & Recreation	2014-09-02	4
26	Outdoors & Recreation	2014-09-03	5
26	Outdoors & Recreation	2014-09-04	5
26	Outdoors & Recreation	2014-09-05	4
26	Outdoors & Recreation	2014-09-06	2
26	Outdoors & Recreation	2014-09-07	6
26	Professional & Other Places	2014-09-02	5
26	Professional & Other Places	2014-09-03	11
26	Professional & Other Places	2014-09-04	2
26	Professional & Other Places	2014-09-05	4
26	Professional & Other Places	2014-09-06	4
26	Professional & Other Places	2014-09-07	1
26	Residence	2014-09-02	0
26	Residence	2014-09-03	1
26	Residence	2014-09-04	0
26	Residence	2014-09-05	0
26	Residence	2014-09-06	0
26	Residence	2014-09-07	0
26	Shop & Service	2014-09-02	4
26	Shop & Service	2014-09-03	6
26	Shop & Service	2014-09-04	4
26	Shop & Service	2014-09-05	9
26	Shop & Service	2014-09-06	4
26	Shop & Service	2014-09-07	6
26	Travel & Transport	2014-09-02	38
26	Travel & Transport	2014-09-03	38
26	Travel & Transport	2014-09-04	69
26	Travel & Transport	2014-09-05	65
26	Travel & Transport	2014-09-06	68
26	Travel & Transport	2014-09-07	34
27	Arts & Entertainment	2014-09-02	1
27	Arts & Entertainment	2014-09-03	1
27	Arts & Entertainment	2014-09-04	1
27	Arts & Entertainment	2014-09-05	1
27	Arts & Entertainment	2014-09-06	1
27	Arts & Entertainment	2014-09-07	0
27	Food	2014-09-02	18
27	Food	2014-09-03	16
27	Food	2014-09-04	20
27	Food	2014-09-05	13
27	Food	2014-09-06	14
27	Food	2014-09-07	19
27	Nightlife Spot	2014-09-02	2
27	Nightlife Spot	2014-09-03	3
27	Nightlife Spot	2014-09-04	9
27	Nightlife Spot	2014-09-05	4
27	Nightlife Spot	2014-09-06	7
27	Nightlife Spot	2014-09-07	1
27	Outdoors & Recreation	2014-09-02	0
27	Outdoors & Recreation	2014-09-03	1
27	Outdoors & Recreation	2014-09-04	1
27	Outdoors & Recreation	2014-09-05	1
27	Outdoors & Recreation	2014-09-06	0
27	Outdoors & Recreation	2014-09-07	2
27	Professional & Other Places	2014-09-02	1
27	Professional & Other Places	2014-09-03	5
27	Professional & Other Places	2014-09-04	4
27	Professional & Other Places	2014-09-05	4
27	Professional & Other Places	2014-09-06	6
27	Professional & Other Places	2014-09-07	7
27	Shop & Service	2014-09-02	3
27	Shop & Service	2014-09-03	6
27	Shop & Service	2014-09-04	12
27	Shop & Service	2014-09-05	10
27	Shop & Service	2014-09-06	9
27	Shop & Service	2014-09-07	14
27	Travel & Transport	2014-09-02	1
27	Travel & Transport	2014-09-03	0
27	Travel & Transport	2014-09-04	2
27	Travel & Transport	2014-09-05	5
27	Travel & Transport	2014-09-06	2
27	Travel & Transport	2014-09-07	6
28	Arts & Entertainment	2014-09-02	0
28	Arts & Entertainment	2014-09-03	0
28	Arts & Entertainment	2014-09-04	1
28	Arts & Entertainment	2014-09-05	2
28	Arts & Entertainment	2014-09-06	0
28	Arts & Entertainment	2014-09-07	0
28	Food	2014-09-02	2
28	Food	2014-09-03	6
28	Food	2014-09-04	11
28	Food	2014-09-05	4
28	Food	2014-09-06	7
28	Food	2014-09-07	8
28	Nightlife Spot	2014-09-02	1
28	Nightlife Spot	2014-09-03	1
28	Nightlife Spot	2014-09-04	0
28	Nightlife Spot	2014-09-05	0
28	Nightlife Spot	2014-09-06	0
28	Nightlife Spot	2014-09-07	0
28	Outdoors & Recreation	2014-09-02	2
28	Outdoors & Recreation	2014-09-03	2
28	Outdoors & Recreation	2014-09-04	2
28	Outdoors & Recreation	2014-09-05	1
28	Outdoors & Recreation	2014-09-06	4
28	Outdoors & Recreation	2014-09-07	0
28	Professional & Other Places	2014-09-02	1
28	Professional & Other Places	2014-09-03	1
28	Professional & Other Places	2014-09-04	0
28	Professional & Other Places	2014-09-05	0
28	Professional & Other Places	2014-09-06	3
28	Professional & Other Places	2014-09-07	0
28	Shop & Service	2014-09-02	0
28	Shop & Service	2014-09-03	1
28	Shop & Service	2014-09-04	4
28	Shop & Service	2014-09-05	0
28	Shop & Service	2014-09-06	4
28	Shop & Service	2014-09-07	1
28	Travel & Transport	2014-09-02	1
28	Travel & Transport	2014-09-03	3
28	Travel & Transport	2014-09-04	5
28	Travel & Transport	2014-09-05	3
28	Travel & Transport	2014-09-06	3
28	Travel & Transport	2014-09-07	0
29	Arts & Entertainment	2014-09-02	0
29	Arts & Entertainment	2014-09-03	0
29	Arts & Entertainment	2014-09-04	1
29	Arts & Entertainment	2014-09-05	0
29	Arts & Entertainment	2014-09-06	0
29	Arts & Entertainment	2014-09-07	0
29	Food	2014-09-02	1
29	Food	2014-09-03	0
29	Food	2014-09-04	0
29	Food	2014-09-05	1
29	Food	2014-09-06	0
29	Food	2014-09-07	0
29	Outdoors & Recreation	2014-09-02	0
29	Outdoors & Recreation	2014-09-03	0
29	Outdoors & Recreation	2014-09-04	0
29	Outdoors & Recreation	2014-09-05	0
29	Outdoors & Recreation	2014-09-06	0
29	Outdoors & Recreation	2014-09-07	1
3	Arts & Entertainment	2014-09-02	0
3	Arts & Entertainment	2014-09-03	2
3	Arts & Entertainment	2014-09-04	7
3	Arts & Entertainment	2014-09-05	2
3	Arts & Entertainment	2014-09-06	2
3	Arts & Entertainment	2014-09-07	2
3	Food	2014-09-02	0
3	Food	2014-09-03	1
3	Food	2014-09-04	0
3	Food	2014-09-05	1
3	Food	2014-09-06	0
3	Food	2014-09-07	2
3	Nightlife Spot	2014-09-02	0
3	Nightlife Spot	2014-09-03	2
3	Nightlife Spot	2014-09-04	0
3	Nightlife Spot	2014-09-05	1
3	Nightlife Spot	2014-09-06	0
3	Nightlife Spot	2014-09-07	3
3	Outdoors & Recreation	2014-09-02	2
3	Outdoors & Recreation	2014-09-03	6
3	Outdoors & Recreation	2014-09-04	4
3	Outdoors & Recreation	2014-09-05	4
3	Outdoors & Recreation	2014-09-06	3
3	Outdoors & Recreation	2014-09-07	6
3	Professional & Other Places	2014-09-02	0
3	Professional & Other Places	2014-09-03	1
3	Professional & Other Places	2014-09-04	0
3	Professional & Other Places	2014-09-05	0
3	Professional & Other Places	2014-09-06	0
3	Professional & Other Places	2014-09-07	0
3	Travel & Transport	2014-09-02	0
3	Travel & Transport	2014-09-03	0
3	Travel & Transport	2014-09-04	0
3	Travel & Transport	2014-09-05	1
3	Travel & Transport	2014-09-06	1
3	Travel & Transport	2014-09-07	0
30	Arts & Entertainment	2014-09-02	0
30	Arts & Entertainment	2014-09-03	0
30	Arts & Entertainment	2014-09-04	0
30	Arts & Entertainment	2014-09-05	0
30	Arts & Entertainment	2014-09-06	0
30	Arts & Entertainment	2014-09-07	2
30	Food	2014-09-02	1
30	Food	2014-09-03	0
30	Food	2014-09-04	0
30	Food	2014-09-05	0
30	Food	2014-09-06	1
30	Food	2014-09-07	0
30	Professional & Other Places	2014-09-02	1
30	Professional & Other Places	2014-09-03	2
30	Professional & Other Places	2014-09-04	2
30	Professional & Other Places	2014-09-05	9
30	Professional & Other Places	2014-09-06	1
30	Professional & Other Places	2014-09-07	2
30	Shop & Service	2014-09-02	0
30	Shop & Service	2014-09-03	1
30	Shop & Service	2014-09-04	0
30	Shop & Service	2014-09-05	0
30	Shop & Service	2014-09-06	0
30	Shop & Service	2014-09-07	1
30	Travel & Transport	2014-09-02	0
30	Travel & Transport	2014-09-03	0
30	Travel & Transport	2014-09-04	0
30	Travel & Transport	2014-09-05	2
30	Travel & Transport	2014-09-06	1
30	Travel & Transport	2014-09-07	0
31	Food	2014-09-02	0
31	Food	2014-09-03	0
31	Food	2014-09-04	0
31	Food	2014-09-05	0
31	Food	2014-09-06	1
31	Food	2014-09-07	0
31	Travel & Transport	2014-09-02	39
31	Travel & Transport	2014-09-03	38
31	Travel & Transport	2014-09-04	70
31	Travel & Transport	2014-09-05	63
31	Travel & Transport	2014-09-06	53
31	Travel & Transport	2014-09-07	46
32	Food	2014-09-02	0
32	Food	2014-09-03	0
32	Food	2014-09-04	0
32	Food	2014-09-05	0
32	Food	2014-09-06	1
32	Food	2014-09-07	0
32	Professional & Other Places	2014-09-02	3
32	Professional & Other Places	2014-09-03	2
32	Professional & Other Places	2014-09-04	5
32	Professional & Other Places	2014-09-05	4
32	Professional & Other Places	2014-09-06	4
32	Professional & Other Places	2014-09-07	0
32	Travel & Transport	2014-09-02	4
32	Travel & Transport	2014-09-03	3
32	Travel & Transport	2014-09-04	6
32	Travel & Transport	2014-09-05	9
32	Travel & Transport	2014-09-06	7
32	Travel & Transport	2014-09-07	0
33	Food	2014-09-02	0
33	Food	2014-09-03	1
33	Food	2014-09-04	0
33	Food	2014-09-05	0
33	Food	2014-09-06	1
33	Food	2014-09-07	1
33	Nightlife Spot	2014-09-02	0
33	Nightlife Spot	2014-09-03	0
33	Nightlife Spot	2014-09-04	0
33	Nightlife Spot	2014-09-05	1
33	Nightlife Spot	2014-09-06	1
33	Nightlife Spot	2014-09-07	1
33	Outdoors & Recreation	2014-09-02	0
33	Outdoors & Recreation	2014-09-03	0
33	Outdoors & Recreation	2014-09-04	1
33	Outdoors & Recreation	2014-09-05	0
33	Outdoors & Recreation	2014-09-06	0
33	Outdoors & Recreation	2014-09-07	0
33	Professional & Other Places	2014-09-02	0
33	Professional & Other Places	2014-09-03	7
33	Professional & Other Places	2014-09-04	3
33	Professional & Other Places	2014-09-05	3
33	Professional & Other Places	2014-09-06	3
33	Professional & Other Places	2014-09-07	1
35	Arts & Entertainment	2014-09-02	0
35	Arts & Entertainment	2014-09-03	0
35	Arts & Entertainment	2014-09-04	0
35	Arts & Entertainment	2014-09-05	0
35	Arts & Entertainment	2014-09-06	1
35	Arts & Entertainment	2014-09-07	0
35	College & University	2014-09-02	0
35	College & University	2014-09-03	0
35	College & University	2014-09-04	0
35	College & University	2014-09-05	0
35	College & University	2014-09-06	0
35	College & University	2014-09-07	1
35	Food	2014-09-02	5
35	Food	2014-09-03	2
35	Food	2014-09-04	5
35	Food	2014-09-05	1
35	Food	2014-09-06	7
35	Food	2014-09-07	4
35	Outdoors & Recreation	2014-09-02	0
35	Outdoors & Recreation	2014-09-03	0
35	Outdoors & Recreation	2014-09-04	3
35	Outdoors & Recreation	2014-09-05	0
35	Outdoors & Recreation	2014-09-06	1
35	Outdoors & Recreation	2014-09-07	3
35	Professional & Other Places	2014-09-02	1
35	Professional & Other Places	2014-09-03	5
35	Professional & Other Places	2014-09-04	4
35	Professional & Other Places	2014-09-05	2
35	Professional & Other Places	2014-09-06	3
35	Professional & Other Places	2014-09-07	0
35	Shop & Service	2014-09-02	4
35	Shop & Service	2014-09-03	5
35	Shop & Service	2014-09-04	5
35	Shop & Service	2014-09-05	3
35	Shop & Service	2014-09-06	2
35	Shop & Service	2014-09-07	7
35	Travel & Transport	2014-09-02	3
35	Travel & Transport	2014-09-03	8
35	Travel & Transport	2014-09-04	7
35	Travel & Transport	2014-09-05	14
35	Travel & Transport	2014-09-06	6
35	Travel & Transport	2014-09-07	14
36	Food	2014-09-02	0
36	Food	2014-09-03	0
36	Food	2014-09-04	0
36	Food	2014-09-05	2
36	Food	2014-09-06	0
36	Food	2014-09-07	10
36	Nightlife Spot	2014-09-02	0
36	Nightlife Spot	2014-09-03	0
36	Nightlife Spot	2014-09-04	0
36	Nightlife Spot	2014-09-05	0
36	Nightlife Spot	2014-09-06	1
36	Nightlife Spot	2014-09-07	0
36	Outdoors & Recreation	2014-09-02	0
36	Outdoors & Recreation	2014-09-03	0
36	Outdoors & Recreation	2014-09-04	0
36	Outdoors & Recreation	2014-09-05	0
36	Outdoors & Recreation	2014-09-06	0
36	Outdoors & Recreation	2014-09-07	1
36	Professional & Other Places	2014-09-02	1
36	Professional & Other Places	2014-09-03	2
36	Professional & Other Places	2014-09-04	3
36	Professional & Other Places	2014-09-05	3
36	Professional & Other Places	2014-09-06	2
36	Professional & Other Places	2014-09-07	0
36	Shop & Service	2014-09-02	1
36	Shop & Service	2014-09-03	1
36	Shop & Service	2014-09-04	1
36	Shop & Service	2014-09-05	1
36	Shop & Service	2014-09-06	1
36	Shop & Service	2014-09-07	1
36	Travel & Transport	2014-09-02	1
36	Travel & Transport	2014-09-03	0
36	Travel & Transport	2014-09-04	0
36	Travel & Transport	2014-09-05	0
36	Travel & Transport	2014-09-06	0
36	Travel & Transport	2014-09-07	0
37	Arts & Entertainment	2014-09-02	0
37	Arts & Entertainment	2014-09-03	0
37	Arts & Entertainment	2014-09-04	0
37	Arts & Entertainment	2014-09-05	0
37	Arts & Entertainment	2014-09-06	0
37	Arts & Entertainment	2014-09-07	1
37	College & University	2014-09-02	0
37	College & University	2014-09-03	0
37	College & University	2014-09-04	0
37	College & University	2014-09-05	0
37	College & University	2014-09-06	1
37	College & University	2014-09-07	0
37	Food	2014-09-02	6
37	Food	2014-09-03	4
37	Food	2014-09-04	4
37	Food	2014-09-05	6
37	Food	2014-09-06	1
37	Food	2014-09-07	1
37	Nightlife Spot	2014-09-02	0
37	Nightlife Spot	2014-09-03	0
37	Nightlife Spot	2014-09-04	0
37	Nightlife Spot	2014-09-05	1
37	Nightlife Spot	2014-09-06	0
37	Nightlife Spot	2014-09-07	0
37	Professional & Other Places	2014-09-02	2
37	Professional & Other Places	2014-09-03	8
37	Professional & Other Places	2014-09-04	8
37	Professional & Other Places	2014-09-05	12
37	Professional & Other Places	2014-09-06	7
37	Professional & Other Places	2014-09-07	1
37	Shop & Service	2014-09-02	0
37	Shop & Service	2014-09-03	0
37	Shop & Service	2014-09-04	-1
37	Shop & Service	2014-09-05	0
37	Shop & Service	2014-09-06	0
37	Shop & Service	2014-09-07	3
37	Travel & Transport	2014-09-02	1
37	Travel & Transport	2014-09-03	1
37	Travel & Transport	2014-09-04	2
37	Travel & Transport	2014-09-05	1
37	Travel & Transport	2014-09-06	0
37	Travel & Transport	2014-09-07	1
38	College & University	2014-09-02	1
38	College & University	2014-09-03	0
38	College & University	2014-09-04	0
38	College & University	2014-09-05	1
38	College & University	2014-09-06	0
38	College & University	2014-09-07	0
38	Food	2014-09-02	0
38	Food	2014-09-03	1
38	Food	2014-09-04	2
38	Food	2014-09-05	5
38	Food	2014-09-06	3
38	Food	2014-09-07	2
38	Nightlife Spot	2014-09-02	0
38	Nightlife Spot	2014-09-03	0
38	Nightlife Spot	2014-09-04	0
38	Nightlife Spot	2014-09-05	0
38	Nightlife Spot	2014-09-06	0
38	Nightlife Spot	2014-09-07	2
38	Outdoors & Recreation	2014-09-02	0
38	Outdoors & Recreation	2014-09-03	0
38	Outdoors & Recreation	2014-09-04	0
38	Outdoors & Recreation	2014-09-05	0
38	Outdoors & Recreation	2014-09-06	2
38	Outdoors & Recreation	2014-09-07	0
38	Professional & Other Places	2014-09-02	0
38	Professional & Other Places	2014-09-03	3
38	Professional & Other Places	2014-09-04	6
38	Professional & Other Places	2014-09-05	6
38	Professional & Other Places	2014-09-06	1
38	Professional & Other Places	2014-09-07	3
38	Shop & Service	2014-09-02	1
38	Shop & Service	2014-09-03	0
38	Shop & Service	2014-09-04	0
38	Shop & Service	2014-09-05	0
38	Shop & Service	2014-09-06	0
38	Shop & Service	2014-09-07	1
38	Travel & Transport	2014-09-02	2
38	Travel & Transport	2014-09-03	2
38	Travel & Transport	2014-09-04	1
38	Travel & Transport	2014-09-05	2
38	Travel & Transport	2014-09-06	0
38	Travel & Transport	2014-09-07	0
39	College & University	2014-09-02	0
39	College & University	2014-09-03	1
39	College & University	2014-09-04	0
39	College & University	2014-09-05	0
39	College & University	2014-09-06	0
39	College & University	2014-09-07	1
4	Arts & Entertainment	2014-09-02	0
4	Arts & Entertainment	2014-09-03	1
4	Arts & Entertainment	2014-09-04	1
4	Arts & Entertainment	2014-09-05	0
4	Arts & Entertainment	2014-09-06	3
4	Arts & Entertainment	2014-09-07	1
4	College & University	2014-09-02	0
4	College & University	2014-09-03	2
4	College & University	2014-09-04	0
4	College & University	2014-09-05	2
4	College & University	2014-09-06	0
4	College & University	2014-09-07	0
4	Food	2014-09-02	9
4	Food	2014-09-03	19
4	Food	2014-09-04	10
4	Food	2014-09-05	17
4	Food	2014-09-06	29
4	Food	2014-09-07	18
4	Nightlife Spot	2014-09-02	6
4	Nightlife Spot	2014-09-03	9
4	Nightlife Spot	2014-09-04	7
4	Nightlife Spot	2014-09-05	6
4	Nightlife Spot	2014-09-06	9
4	Nightlife Spot	2014-09-07	12
4	Outdoors & Recreation	2014-09-02	6
4	Outdoors & Recreation	2014-09-03	1
4	Outdoors & Recreation	2014-09-04	2
4	Outdoors & Recreation	2014-09-05	4
4	Outdoors & Recreation	2014-09-06	6
4	Outdoors & Recreation	2014-09-07	8
4	Professional & Other Places	2014-09-02	4
4	Professional & Other Places	2014-09-03	19
4	Professional & Other Places	2014-09-04	4
4	Professional & Other Places	2014-09-05	11
4	Professional & Other Places	2014-09-06	13
4	Professional & Other Places	2014-09-07	2
4	Shop & Service	2014-09-02	7
4	Shop & Service	2014-09-03	10
4	Shop & Service	2014-09-04	8
4	Shop & Service	2014-09-05	10
4	Shop & Service	2014-09-06	10
4	Shop & Service	2014-09-07	8
4	Travel & Transport	2014-09-02	0
4	Travel & Transport	2014-09-03	5
4	Travel & Transport	2014-09-04	3
4	Travel & Transport	2014-09-05	2
4	Travel & Transport	2014-09-06	6
4	Travel & Transport	2014-09-07	1
41	Arts & Entertainment	2014-09-02	0
41	Arts & Entertainment	2014-09-03	0
41	Arts & Entertainment	2014-09-04	0
41	Arts & Entertainment	2014-09-05	0
41	Arts & Entertainment	2014-09-06	1
41	Arts & Entertainment	2014-09-07	0
41	Outdoors & Recreation	2014-09-02	0
41	Outdoors & Recreation	2014-09-03	0
41	Outdoors & Recreation	2014-09-04	0
41	Outdoors & Recreation	2014-09-05	1
41	Outdoors & Recreation	2014-09-06	0
41	Outdoors & Recreation	2014-09-07	2
41	Professional & Other Places	2014-09-02	0
41	Professional & Other Places	2014-09-03	1
41	Professional & Other Places	2014-09-04	3
41	Professional & Other Places	2014-09-05	3
41	Professional & Other Places	2014-09-06	1
41	Professional & Other Places	2014-09-07	0
41	Shop & Service	2014-09-02	0
41	Shop & Service	2014-09-03	0
41	Shop & Service	2014-09-04	1
41	Shop & Service	2014-09-05	0
41	Shop & Service	2014-09-06	0
41	Shop & Service	2014-09-07	1
42	College & University	2014-09-02	0
42	College & University	2014-09-03	0
42	College & University	2014-09-04	0
42	College & University	2014-09-05	0
42	College & University	2014-09-06	1
42	College & University	2014-09-07	0
42	Food	2014-09-02	0
42	Food	2014-09-03	1
42	Food	2014-09-04	5
42	Food	2014-09-05	2
42	Food	2014-09-06	0
42	Food	2014-09-07	1
42	Nightlife Spot	2014-09-02	0
42	Nightlife Spot	2014-09-03	1
42	Nightlife Spot	2014-09-04	0
42	Nightlife Spot	2014-09-05	0
42	Nightlife Spot	2014-09-06	0
42	Nightlife Spot	2014-09-07	0
42	Professional & Other Places	2014-09-02	0
42	Professional & Other Places	2014-09-03	0
42	Professional & Other Places	2014-09-04	0
42	Professional & Other Places	2014-09-05	2
42	Professional & Other Places	2014-09-06	0
42	Professional & Other Places	2014-09-07	0
42	Shop & Service	2014-09-02	0
42	Shop & Service	2014-09-03	1
42	Shop & Service	2014-09-04	0
42	Shop & Service	2014-09-05	0
42	Shop & Service	2014-09-06	0
42	Shop & Service	2014-09-07	0
42	Travel & Transport	2014-09-02	0
42	Travel & Transport	2014-09-03	1
42	Travel & Transport	2014-09-04	0
42	Travel & Transport	2014-09-05	2
42	Travel & Transport	2014-09-06	1
42	Travel & Transport	2014-09-07	0
43	Food	2014-09-02	2
43	Food	2014-09-03	0
43	Food	2014-09-04	2
43	Food	2014-09-05	2
43	Food	2014-09-06	4
43	Food	2014-09-07	6
43	Nightlife Spot	2014-09-02	0
43	Nightlife Spot	2014-09-03	1
43	Nightlife Spot	2014-09-04	1
43	Nightlife Spot	2014-09-05	1
43	Nightlife Spot	2014-09-06	0
43	Nightlife Spot	2014-09-07	1
43	Outdoors & Recreation	2014-09-02	1
43	Outdoors & Recreation	2014-09-03	0
43	Outdoors & Recreation	2014-09-04	0
43	Outdoors & Recreation	2014-09-05	2
43	Outdoors & Recreation	2014-09-06	1
43	Outdoors & Recreation	2014-09-07	1
43	Professional & Other Places	2014-09-02	1
43	Professional & Other Places	2014-09-03	0
43	Professional & Other Places	2014-09-04	0
43	Professional & Other Places	2014-09-05	2
43	Professional & Other Places	2014-09-06	0
43	Professional & Other Places	2014-09-07	0
43	Shop & Service	2014-09-02	0
43	Shop & Service	2014-09-03	0
43	Shop & Service	2014-09-04	6
43	Shop & Service	2014-09-05	2
43	Shop & Service	2014-09-06	0
43	Shop & Service	2014-09-07	3
44	Arts & Entertainment	2014-09-02	0
44	Arts & Entertainment	2014-09-03	0
44	Arts & Entertainment	2014-09-04	2
44	Arts & Entertainment	2014-09-05	0
44	Arts & Entertainment	2014-09-06	1
44	Arts & Entertainment	2014-09-07	0
44	College & University	2014-09-02	0
44	College & University	2014-09-03	2
44	College & University	2014-09-04	4
44	College & University	2014-09-05	4
44	College & University	2014-09-06	2
44	College & University	2014-09-07	1
44	Food	2014-09-02	24
44	Food	2014-09-03	34
44	Food	2014-09-04	35
44	Food	2014-09-05	33
44	Food	2014-09-06	43
44	Food	2014-09-07	53
44	Nightlife Spot	2014-09-02	12
44	Nightlife Spot	2014-09-03	30
44	Nightlife Spot	2014-09-04	24
44	Nightlife Spot	2014-09-05	22
44	Nightlife Spot	2014-09-06	32
44	Nightlife Spot	2014-09-07	53
44	Outdoors & Recreation	2014-09-02	7
44	Outdoors & Recreation	2014-09-03	9
44	Outdoors & Recreation	2014-09-04	9
44	Outdoors & Recreation	2014-09-05	6
44	Outdoors & Recreation	2014-09-06	16
44	Outdoors & Recreation	2014-09-07	22
44	Professional & Other Places	2014-09-02	0
44	Professional & Other Places	2014-09-03	3
44	Professional & Other Places	2014-09-04	3
44	Professional & Other Places	2014-09-05	2
44	Professional & Other Places	2014-09-06	5
44	Professional & Other Places	2014-09-07	0
44	Shop & Service	2014-09-02	9
44	Shop & Service	2014-09-03	4
44	Shop & Service	2014-09-04	6
44	Shop & Service	2014-09-05	12
44	Shop & Service	2014-09-06	4
44	Shop & Service	2014-09-07	8
44	Travel & Transport	2014-09-02	6
44	Travel & Transport	2014-09-03	4
44	Travel & Transport	2014-09-04	8
44	Travel & Transport	2014-09-05	8
44	Travel & Transport	2014-09-06	6
44	Travel & Transport	2014-09-07	3
45	College & University	2014-09-02	0
45	College & University	2014-09-03	1
45	College & University	2014-09-04	2
45	College & University	2014-09-05	1
45	College & University	2014-09-06	0
45	College & University	2014-09-07	0
45	Food	2014-09-02	2
45	Food	2014-09-03	4
45	Food	2014-09-04	9
45	Food	2014-09-05	2
45	Food	2014-09-06	7
45	Food	2014-09-07	12
45	Nightlife Spot	2014-09-02	0
45	Nightlife Spot	2014-09-03	1
45	Nightlife Spot	2014-09-04	0
45	Nightlife Spot	2014-09-05	0
45	Nightlife Spot	2014-09-06	0
45	Nightlife Spot	2014-09-07	4
45	Outdoors & Recreation	2014-09-02	0
45	Outdoors & Recreation	2014-09-03	2
45	Outdoors & Recreation	2014-09-04	3
45	Outdoors & Recreation	2014-09-05	0
45	Outdoors & Recreation	2014-09-06	0
45	Outdoors & Recreation	2014-09-07	4
45	Professional & Other Places	2014-09-02	3
45	Professional & Other Places	2014-09-03	4
45	Professional & Other Places	2014-09-04	3
45	Professional & Other Places	2014-09-05	1
45	Professional & Other Places	2014-09-06	2
45	Professional & Other Places	2014-09-07	0
45	Shop & Service	2014-09-02	3
45	Shop & Service	2014-09-03	3
45	Shop & Service	2014-09-04	0
45	Shop & Service	2014-09-05	2
45	Shop & Service	2014-09-06	1
45	Shop & Service	2014-09-07	4
45	Travel & Transport	2014-09-02	1
45	Travel & Transport	2014-09-03	0
45	Travel & Transport	2014-09-04	6
45	Travel & Transport	2014-09-05	4
45	Travel & Transport	2014-09-06	3
45	Travel & Transport	2014-09-07	1
46	Arts & Entertainment	2014-09-02	0
46	Arts & Entertainment	2014-09-03	1
46	Arts & Entertainment	2014-09-04	0
46	Arts & Entertainment	2014-09-05	0
46	Arts & Entertainment	2014-09-06	0
46	Arts & Entertainment	2014-09-07	0
46	College & University	2014-09-02	1
46	College & University	2014-09-03	0
46	College & University	2014-09-04	1
46	College & University	2014-09-05	0
46	College & University	2014-09-06	0
46	College & University	2014-09-07	0
46	Food	2014-09-02	0
46	Food	2014-09-03	0
46	Food	2014-09-04	0
46	Food	2014-09-05	2
46	Food	2014-09-06	0
46	Food	2014-09-07	0
47	Food	2014-09-02	0
47	Food	2014-09-03	0
47	Food	2014-09-04	0
47	Food	2014-09-05	1
47	Food	2014-09-06	0
47	Food	2014-09-07	0
47	Travel & Transport	2014-09-02	0
47	Travel & Transport	2014-09-03	0
47	Travel & Transport	2014-09-04	0
47	Travel & Transport	2014-09-05	2
47	Travel & Transport	2014-09-06	0
47	Travel & Transport	2014-09-07	1
48	Food	2014-09-02	0
48	Food	2014-09-03	0
48	Food	2014-09-04	1
48	Food	2014-09-05	1
48	Food	2014-09-06	0
48	Food	2014-09-07	5
48	Nightlife Spot	2014-09-02	0
48	Nightlife Spot	2014-09-03	0
48	Nightlife Spot	2014-09-04	1
48	Nightlife Spot	2014-09-05	1
48	Nightlife Spot	2014-09-06	0
48	Nightlife Spot	2014-09-07	2
48	Outdoors & Recreation	2014-09-02	0
48	Outdoors & Recreation	2014-09-03	0
48	Outdoors & Recreation	2014-09-04	2
48	Outdoors & Recreation	2014-09-05	0
48	Outdoors & Recreation	2014-09-06	0
48	Outdoors & Recreation	2014-09-07	0
48	Travel & Transport	2014-09-02	0
48	Travel & Transport	2014-09-03	1
48	Travel & Transport	2014-09-04	1
48	Travel & Transport	2014-09-05	1
