nil	cat	day	diff
12	Food	2014-09-03	7
12	Food	2014-09-04	4
12	Food	2014-09-05	6
12	Food	2014-09-06	5
12	Food	2014-09-07	3
12	Nightlife Spot	2014-09-02	0
12	Nightlife Spot	2014-09-03	1
12	Nightlife Spot	2014-09-04	0
12	Nightlife Spot	2014-09-05	0
12	Nightlife Spot	2014-09-06	0
12	Nightlife Spot	2014-09-07	0
12	Outdoors & Recreation	2014-09-02	0
12	Outdoors & Recreation	2014-09-03	0
12	Outdoors & Recreation	2014-09-04	1
12	Outdoors & Recreation	2014-09-05	0
12	Outdoors & Recreation	2014-09-06	0
12	Outdoors & Recreation	2014-09-07	0
12	Professional & Other Places	2014-09-02	0
12	Professional & Other Places	2014-09-03	1
12	Professional & Other Places	2014-09-04	0
12	Professional & Other Places	2014-09-05	1
12	Professional & Other Places	2014-09-06	0
12	Professional & Other Places	2014-09-07	1
12	Shop & Service	2014-09-02	2
12	Shop & Service	2014-09-03	0
12	Shop & Service	2014-09-04	0
12	Shop & Service	2014-09-05	1
12	Shop & Service	2014-09-06	0
12	Shop & Service	2014-09-07	3
12	Travel & Transport	2014-09-02	1
12	Travel & Transport	2014-09-03	0
12	Travel & Transport	2014-09-04	1
12	Travel & Transport	2014-09-05	2
12	Travel & Transport	2014-09-06	1
12	Travel & Transport	2014-09-07	3
13	Food	2014-09-02	1
13	Food	2014-09-03	3
13	Food	2014-09-04	0
13	Food	2014-09-05	1
13	Food	2014-09-06	2
13	Food	2014-09-07	1
13	Nightlife Spot	2014-09-02	0
13	Nightlife Spot	2014-09-03	1
13	Nightlife Spot	2014-09-04	0
13	Nightlife Spot	2014-09-05	0
13	Nightlife Spot	2014-09-06	0
13	Nightlife Spot	2014-09-07	0
13	Outdoors & Recreation	2014-09-02	0
13	Outdoors & Recreation	2014-09-03	0
13	Outdoors & Recreation	2014-09-04	0
13	Outdoors & Recreation	2014-09-05	0
13	Outdoors & Recreation	2014-09-06	1
13	Outdoors & Recreation	2014-09-07	1
13	Professional & Other Places	2014-09-02	1
13	Professional & Other Places	2014-09-03	6
13	Professional & Other Places	2014-09-04	7
13	Professional & Other Places	2014-09-05	5
13	Professional & Other Places	2014-09-06	4
13	Professional & Other Places	2014-09-07	0
13	Shop & Service	2014-09-02	0
13	Shop & Service	2014-09-03	2
13	Shop & Service	2014-09-04	0
13	Shop & Service	2014-09-05	1
13	Shop & Service	2014-09-06	3
13	Shop & Service	2014-09-07	0
13	Travel & Transport	2014-09-02	0
13	Travel & Transport	2014-09-03	0
13	Travel & Transport	2014-09-04	0
13	Travel & Transport	2014-09-05	0
13	Travel & Transport	2014-09-06	1
13	Travel & Transport	2014-09-07	0
14	Food	2014-09-02	0
14	Food	2014-09-03	0
14	Food	2014-09-04	1
14	Food	2014-09-05	1
14	Food	2014-09-06	3
14	Food	2014-09-07	1
14	Nightlife Spot	2014-09-02	0
14	Nightlife Spot	2014-09-03	0
14	Nightlife Spot	2014-09-04	1
14	Nightlife Spot	2014-09-05	0
14	Nightlife Spot	2014-09-06	0
14	Nightlife Spot	2014-09-07	0
14	Outdoors & Recreation	2014-09-02	0
14	Outdoors & Recreation	2014-09-03	2
14	Outdoors & Recreation	2014-09-04	1
14	Outdoors & Recreation	2014-09-05	1
14	Outdoors & Recreation	2014-09-06	1
14	Outdoors & Recreation	2014-09-07	1
14	Professional & Other Places	2014-09-02	1
14	Professional & Other Places	2014-09-03	5
14	Professional & Other Places	2014-09-04	4
14	Professional & Other Places	2014-09-05	5
14	Professional & Other Places	2014-09-06	5
14	Professional & Other Places	2014-09-07	0
14	Residence	2014-09-02	0
14	Residence	2014-09-03	0
14	Residence	2014-09-04	0
14	Residence	2014-09-05	1
14	Residence	2014-09-06	1
14	Residence	2014-09-07	0
14	Shop & Service	2014-09-02	0
14	Shop & Service	2014-09-03	1
14	Shop & Service	2014-09-04	1
14	Shop & Service	2014-09-05	0
14	Shop & Service	2014-09-06	2
14	Shop & Service	2014-09-07	1
14	Travel & Transport	2014-09-02	5
14	Travel & Transport	2014-09-03	4
14	Travel & Transport	2014-09-04	4
14	Travel & Transport	2014-09-05	7
14	Travel & Transport	2014-09-06	3
